CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240304,243191501,Other,3,0,0,0
20240304,460291501,Other,0,2,0,0
20240304,460291502,Other,0,12,0,0
20240304,460491501,Other,0,3,0,0
20240304,460591501,Other,0,9,0,0
20240304,461991501,Other,0,9,0,0
20240304,533115001,Other,20,0,0,0
20240304,537415001,Other,6,0,0,0
20240304,537719151,Other,0,19,0,0
20240304,537919151,Other,0,13,0,0
20240304,537919154,Other,0,11,0,0
20240304,538191501,Other,146,0,0,0
20240304,538191503,Other,20,0,0,0
20240304,538591501,Other,16,0,0,0
20240304,538791501,Other,4,0,0,0
20240304,539191501,Other,232,0,0,0
20240304,539191503,Other,0,73,0,0
20240304,539791501,Other,0,172,0,0
20240304,539915001,Other,0,1,0,0
20240304,81015004,Other,11,0,0,0
20240304,97978200,Other,172,0,0,0
20240304,97978400,Other,203,0,0,0
