CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240324,23291501,Other,4,0,0,0
20240324,243191501,Other,1,0,0,0
20240324,460291502,Other,0,7,0,0
20240324,460491501,Other,0,2,0,0
20240324,460591501,Other,4,0,0,0
20240324,460691501,Other,0,1,0,0
20240324,460891501,Other,18,0,0,0
20240324,460891503,Other,3,0,0,0
20240324,461991501,Other,0,4,0,0
20240324,462915001,Other,0,8,0,0
20240324,537515002,Other,0,1,0,0
20240324,537719151,Other,0,17,0,0
20240324,537819152,Other,0,2,0,0
20240324,538191502,Other,22,0,0,0
20240324,538191503,Other,0,53,0,0
20240324,538591501,Other,0,9,0,0
20240324,538691502,Other,2,0,0,0
20240324,538791501,Other,0,6,0,0
20240324,539191501,Other,157,0,0,0
20240324,539191503,Other,138,0,0,0
20240324,539791501,Other,146,0,0,0
20240324,81015004,Other,97,0,0,0
20240324,97318300,Other,0,66,0,0
20240324,97318500,Other,35,0,0,0
20240324,97978200,Other,0,177,0,0
20240324,97978400,Other,185,0,0,0
