CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240403,243191501,Other,1,0,0,0
20240403,300591501,Other,0,1,0,0
20240403,460291501,Other,0,2,0,0
20240403,460291502,Other,4,0,0,0
20240403,460891501,Other,9,0,0,0
20240403,460891502,Other,46,0,0,0
20240403,461991501,Other,0,9,0,0
20240403,462915001,Other,3,0,0,0
20240403,533975001,Other,0,2,0,0
20240403,537415001,Other,0,5,0,0
20240403,537719151,Other,2,0,0,0
20240403,537819152,Other,4,0,0,0
20240403,537919154,Other,0,7,0,0
20240403,538191503,Other,5,0,0,0
20240403,538691501,Other,6,0,0,0
20240403,538691502,Other,0,1,0,0
20240403,539191501,Other,0,110,0,0
20240403,539191502,Other,0,1,0,0
20240403,539191503,Other,109,0,0,0
20240403,539791501,Other,0,83,0,0
20240403,81015004,Other,0,16,0,0
20240403,81015005,Other,7,0,0,0
20240403,97318300,Other,0,12,0,0
20240403,97318303,Other,0,12,0,0
20240403,97318304,Other,1,0,0,0
20240403,97978200,Other,86,0,0,0
20240403,97978204,Other,0,4,0,0
20240403,97978400,Other,99,0,0,0
