CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240323,23291501,Other,0,2,0,0
20240323,300591501,Other,2,0,0,0
20240323,460291501,Other,4,0,0,0
20240323,460491501,Other,1,0,0,0
20240323,460591501,Other,0,3,0,0
20240323,460691501,Other,0,2,0,0
20240323,460891502,Other,63,0,0,0
20240323,460891503,Other,0,7,0,0
20240323,533115001,Other,0,11,0,0
20240323,533975001,Other,4,0,0,0
20240323,537619151,Other,0,1,0,0
20240323,537819152,Other,2,0,0,0
20240323,537919154,Other,0,8,0,0
20240323,538191502,Other,20,0,0,0
20240323,538191503,Other,42,0,0,0
20240323,538591501,Other,0,10,0,0
20240323,538691501,Other,0,17,0,0
20240323,538691502,Other,1,0,0,0
20240323,538791501,Other,5,0,0,0
20240323,539191501,Other,151,0,0,0
20240323,539191502,Other,0,2,0,0
20240323,539791501,Other,0,130,0,0
20240323,81015004,Other,27,0,0,0
20240323,97318500,Other,0,46,0,0
20240323,97978200,Other,175,0,0,0
20240323,97978400,Other,0,164,0,0
