CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240305,243191501,Other,0,1,0,0
20240305,460491501,Other,0,2,0,0
20240305,460591501,Other,0,4,0,0
20240305,461915001,Other,1,0,0,0
20240305,461991501,Other,3,0,0,0
20240305,462915001,Other,6,0,0,0
20240305,533115001,Other,0,9,0,0
20240305,533975001,Other,0,5,0,0
20240305,537819152,Other,12,0,0,0
20240305,537919151,Other,8,0,0,0
20240305,537919154,Other,0,8,0,0
20240305,538191501,Other,197,0,0,0
20240305,538191502,Other,49,0,0,0
20240305,538191503,Other,0,39,0,0
20240305,538591501,Other,0,6,0,0
20240305,538791501,Other,1,0,0,0
20240305,539191502,Other,1,0,0,0
20240305,539191503,Other,0,94,0,0
20240305,539915001,Other,1,0,0,0
20240305,81015004,Other,0,12,0,0
20240305,81015005,Other,0,2,0,0
20240305,97318300,Other,0,45,0,0
20240305,97318500,Other,39,0,0,0
20240305,97978200,Other,190,0,0,0
20240305,97978400,Other,194,0,0,0
