CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240301,258191503,Other,0,5,0,0
20240301,460291501,Other,0,5,0,0
20240301,460291502,Other,10,0,0,0
20240301,460291503,Other,0,1,0,0
20240301,460491501,Other,0,4,0,0
20240301,460591501,Other,2,0,0,0
20240301,460891501,Other,0,11,0,0
20240301,460891502,Other,0,57,0,0
20240301,461991501,Other,0,1,0,0
20240301,533115001,Other,15,0,0,0
20240301,537415001,Other,4,0,0,0
20240301,537719151,Other,15,0,0,0
20240301,537819152,Other,0,8,0,0
20240301,537919154,Other,16,0,0,0
20240301,538191501,Other,0,134,0,0
20240301,538191503,Other,5,0,0,0
20240301,538591501,Other,10,0,0,0
20240301,538791501,Other,0,5,0,0
20240301,539191501,Other,0,202,0,0
20240301,539191503,Other,81,0,0,0
20240301,539791501,Other,0,135,0,0
20240301,81015004,Other,11,0,0,0
20240301,97318300,Other,45,0,0,0
