CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240401,23291501,Other,0,1,0,0
20240401,243191501,Other,0,1,0,0
20240401,300591501,Other,1,0,0,0
20240401,460491501,Other,1,0,0,0
20240401,460891501,Other,9,0,0,0
20240401,460891502,Other,10,0,0,0
20240401,460891503,Other,2,0,0,0
20240401,461991501,Other,2,0,0,0
20240401,462915001,Other,0,3,0,0
20240401,533975001,Other,0,2,0,0
20240401,537415001,Other,0,4,0,0
20240401,537819152,Other,0,3,0,0
20240401,537919154,Other,0,11,0,0
20240401,538191502,Other,63,0,0,0
20240401,538191503,Other,14,0,0,0
20240401,538391506,Other,0,1,0,0
20240401,539191501,Other,112,0,0,0
20240401,539191503,Other,79,0,0,0
20240401,539791501,Other,0,100,0,0
20240401,97318300,Other,0,16,0,0
20240401,97318303,Other,18,0,0,0
20240401,97318500,Other,34,0,0,0
20240401,97978200,Other,0,88,0,0
20240401,97978203,Other,0,53,0,0
20240401,97978204,Other,4,0,0,0
20240401,97978206,Other,0,2,0,0
20240401,97978400,Other,0,142,0,0
