CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240326,460291502,Other,6,0,0,0
20240326,460891501,Other,14,0,0,0
20240326,461991501,Other,0,5,0,0
20240326,462915001,Other,8,0,0,0
20240326,533115001,Other,0,15,0,0
20240326,533975001,Other,1,0,0,0
20240326,537619151,Other,0,1,0,0
20240326,537719151,Other,0,2,0,0
20240326,537919151,Other,1,0,0,0
20240326,537919154,Other,6,0,0,0
20240326,538191501,Other,0,69,0,0
20240326,538191502,Other,24,0,0,0
20240326,538391506,Other,0,2,0,0
20240326,538591501,Other,0,7,0,0
20240326,538691501,Other,13,0,0,0
20240326,538691502,Other,1,0,0,0
20240326,539191502,Other,2,0,0,0
20240326,539791501,Other,0,97,0,0
20240326,81015004,Other,12,0,0,0
20240326,97318300,Other,35,0,0,0
20240326,97318303,Other,0,23,0,0
20240326,97318305,Other,0,1,0,0
20240326,97318500,Other,97,0,0,0
20240326,97978203,Other,0,27,0,0
20240326,97978204,Other,1,0,0,0
20240326,97978205,Other,0,3,0,0
20240326,97978206,Other,3,0,0,0
20240326,97978207,Other,0,2,0,0
20240326,97978400,Other,0,110,0,0
