CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240306,271915003,Other,42,0,0,0
20240306,460291502,Other,0,10,0,0
20240306,460491501,Other,1,0,0,0
20240306,460891503,Other,0,4,0,0
20240306,461915001,Other,1,0,0,0
20240306,461991501,Other,0,3,0,0
20240306,533975001,Other,0,5,0,0
20240306,537515002,Other,1,0,0,0
20240306,537919151,Other,0,9,0,0
20240306,537919154,Other,11,0,0,0
20240306,538191502,Other,33,0,0,0
20240306,538191503,Other,31,0,0,0
20240306,538591501,Other,9,0,0,0
20240306,538691501,Other,6,0,0,0
20240306,538691502,Other,0,3,0,0
20240306,539191502,Other,0,2,0,0
20240306,539191503,Other,85,0,0,0
20240306,539791501,Other,0,151,0,0
20240306,81015004,Other,0,12,0,0
20240306,81015005,Other,1,0,0,0
20240306,97318300,Other,0,55,0,0
20240306,97318500,Other,32,0,0,0
20240306,97978200,Other,0,181,0,0
20240306,97978400,Other,0,185,0,0
