CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240330,243191501,Other,2,0,0,0
20240330,460291502,Other,4,0,0,0
20240330,460291503,Other,1,0,0,0
20240330,460491501,Other,0,1,0,0
20240330,460891502,Other,45,0,0,0
20240330,460891503,Other,0,1,0,0
20240330,461991501,Other,3,0,0,0
20240330,462915001,Other,4,0,0,0
20240330,533975001,Other,0,2,0,0
20240330,537415001,Other,3,0,0,0
20240330,537619151,Other,2,0,0,0
20240330,537919154,Other,13,0,0,0
20240330,538191501,Other,80,0,0,0
20240330,538191502,Other,0,66,0,0
20240330,538191503,Other,0,19,0,0
20240330,538591501,Other,0,12,0,0
20240330,538791501,Other,0,4,0,0
20240330,539191501,Other,0,112,0,0
20240330,539191502,Other,0,4,0,0
20240330,539191503,Other,0,77,0,0
20240330,81015004,Other,0,12,0,0
20240330,81015005,Other,1,0,0,0
20240330,97318305,Other,1,0,0,0
20240330,97318306,Other,0,1,0,0
20240330,97318500,Other,23,0,0,0
20240330,97978200,Other,0,92,0,0
20240330,97978203,Other,0,39,0,0
20240330,97978206,Other,3,0,0,0
