CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240317,243191501,Other,2,0,0,0
20240317,460291501,Other,0,2,0,0
20240317,460491501,Other,3,0,0,0
20240317,460591501,Other,0,6,0,0
20240317,460691501,Other,1,0,0,0
20240317,460891501,Other,0,34,0,0
20240317,460891503,Other,0,10,0,0
20240317,461991501,Other,4,0,0,0
20240317,462915001,Other,8,0,0,0
20240317,533115001,Other,0,13,0,0
20240317,533975001,Other,5,0,0,0
20240317,537415001,Other,12,0,0,0
20240317,537719151,Other,12,0,0,0
20240317,537819152,Other,7,0,0,0
20240317,537919154,Other,0,16,0,0
20240317,538191501,Other,0,169,0,0
20240317,538191502,Other,34,0,0,0
20240317,538391506,Other,0,1,0,0
20240317,538691502,Other,0,7,0,0
20240317,539191501,Other,162,0,0,0
20240317,539191503,Other,0,57,0,0
20240317,539791501,Other,0,187,0,0
20240317,81015004,Other,0,27,0,0
20240317,97318500,Other,0,37,0,0
20240317,97978200,Other,274,0,0,0
20240317,97978400,Other,261,0,0,0
