CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240303,243191501,Other,2,0,0,0
20240303,244691501,Other,1,0,0,0
20240303,460291502,Other,0,9,0,0
20240303,460691501,Other,0,2,0,0
20240303,460891501,Other,34,0,0,0
20240303,460891502,Other,0,105,0,0
20240303,460891503,Other,5,0,0,0
20240303,461991501,Other,0,6,0,0
20240303,533115001,Other,0,16,0,0
20240303,533975001,Other,13,0,0,0
20240303,537415001,Other,0,6,0,0
20240303,537515002,Other,2,0,0,0
20240303,537719151,Other,0,16,0,0
20240303,537919151,Other,0,11,0,0
20240303,537919154,Other,24,0,0,0
20240303,538191501,Other,183,0,0,0
20240303,538191502,Other,32,0,0,0
20240303,538591501,Other,0,13,0,0
20240303,538691502,Other,2,0,0,0
20240303,539191501,Other,535,0,0,0
20240303,539191502,Other,0,1,0,0
20240303,539691501,Other,0,1,0,0
20240303,81015004,Other,16,0,0,0
20240303,81015005,Other,7,0,0,0
20240303,97318500,Other,0,57,0,0
20240303,97978200,Other,0,238,0,0
20240303,97978400,Other,0,276,0,0
