CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240402,300591501,Other,1,0,0,0
20240402,460291502,Other,0,9,0,0
20240402,460491501,Other,1,0,0,0
20240402,460891501,Other,5,0,0,0
20240402,460891503,Other,0,3,0,0
20240402,461991501,Other,0,5,0,0
20240402,533115001,Other,0,8,0,0
20240402,533975001,Other,0,1,0,0
20240402,537415001,Other,0,1,0,0
20240402,537819152,Other,4,0,0,0
20240402,538191501,Other,61,0,0,0
20240402,538191503,Other,6,0,0,0
20240402,538591501,Other,12,0,0,0
20240402,538691501,Other,6,0,0,0
20240402,538691502,Other,0,2,0,0
20240402,538791501,Other,0,4,0,0
20240402,539191503,Other,91,0,0,0
20240402,539791501,Other,0,104,0,0
20240402,81015005,Other,0,3,0,0
20240402,97318300,Other,7,0,0,0
20240402,97318303,Other,97,0,0,0
20240402,97318304,Other,0,4,0,0
20240402,97318500,Other,0,27,0,0
20240402,97978203,Other,17,0,0,0
20240402,97978206,Other,0,4,0,0
20240402,97978207,Other,1,0,0,0
