CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240318,460291501,Other,2,0,0,0
20240318,460591501,Other,1,0,0,0
20240318,460691501,Other,0,1,0,0
20240318,460891501,Other,22,0,0,0
20240318,460891502,Other,84,0,0,0
20240318,460891503,Other,5,0,0,0
20240318,537719151,Other,11,0,0,0
20240318,537819152,Other,0,3,0,0
20240318,537919151,Other,9,0,0,0
20240318,537919155,Other,0,4,0,0
20240318,538191503,Other,0,38,0,0
20240318,538691501,Other,0,9,0,0
20240318,538691502,Other,0,3,0,0
20240318,538791501,Other,5,0,0,0
20240318,539191501,Other,110,0,0,0
20240318,539191502,Other,0,4,0,0
20240318,539191503,Other,83,0,0,0
20240318,539791501,Other,131,0,0,0
20240318,81015004,Other,0,24,0,0
20240318,81015005,Other,0,1,0,0
20240318,97318300,Other,37,0,0,0
20240318,97318500,Other,0,23,0,0
20240318,97978200,Other,0,197,0,0
20240318,97978400,Other,0,205,0,0
