CV_Date,Tracking_Code,Device,CV01,CV02,CV03,CV04
20240404,243191501,Other,0,1,0,0
20240404,460291502,Other,5,0,0,0
20240404,460591501,Other,3,0,0,0
20240404,460891501,Other,0,9,0,0
20240404,460891502,Other,38,0,0,0
20240404,460891503,Other,0,3,0,0
20240404,461991501,Other,5,0,0,0
20240404,533115001,Other,12,0,0,0
20240404,537415001,Other,4,0,0,0
20240404,537719151,Other,0,3,0,0
20240404,537819152,Other,2,0,0,0
20240404,537919154,Other,0,10,0,0
20240404,538191501,Other,82,0,0,0
20240404,538591501,Other,0,8,0,0
20240404,538691501,Other,0,4,0,0
20240404,539191501,Other,115,0,0,0
20240404,539191503,Other,0,72,0,0
20240404,539791501,Other,64,0,0,0
20240404,97318300,Other,6,0,0,0
20240404,97318303,Other,0,13,0,0
20240404,97978203,Other,0,30,0,0
20240404,97978204,Other,2,0,0,0
20240404,97978207,Other,0,8,0,0
20240404,97978400,Other,0,112,0,0
